"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-05-23","2004-05-29",2004,124,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-05-30","2004-06-05",2004,144,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-06-06","2004-06-12",2004,133,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-06-13","2004-06-19",2004,154,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-06-20","2004-06-26",2004,163,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-06-27","2004-07-03",2004,163,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-07-04","2004-07-10",2004,188,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-07-11","2004-07-17",2004,218,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-07-18","2004-07-24",2004,218,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-07-25","2004-07-31",2004,218,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-08-01","2004-08-07",2004,305,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-08-08","2004-08-14",2004,251,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-08-15","2004-08-21",2004,278,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-08-22","2004-08-28",2004,329,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-08-29","2004-09-04",2004,274,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
