,adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
122,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-04-11,2004-04-17,2004,99,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
123,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-04-18,2004-04-24,2004,80,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
124,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-04-25,2004-05-01,2004,87,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
125,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-05-02,2004-05-08,2004,135,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
126,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-05-09,2004-05-15,2004,116,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
127,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-05-16,2004-05-22,2004,91,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
128,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-05-23,2004-05-29,2004,124,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
129,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-05-30,2004-06-05,2004,144,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
130,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-06-06,2004-06-12,2004,133,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
131,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-06-13,2004-06-19,2004,154,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
132,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-06-20,2004-06-26,2004,163,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
133,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-06-27,2004-07-03,2004,163,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
134,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-07-04,2004-07-10,2004,188,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
135,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-07-11,2004-07-17,2004,218,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
136,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-07-18,2004-07-24,2004,218,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
